id,policy,outcome,rating_policy
54,opportunity_equality,best,5
55,opportunity_equality,unknown,5
56,opportunity_equality,worst,5
58,opportunity_equality,worst,3
59,opportunity_equality,inequity,3
60,opportunity_equality,inequity,4
61,opportunity_equality,inequity,4
62,opportunity_equality,unknown,4
63,opportunity_equality,unknown,5
64,opportunity_equality,best,5
65,opportunity_equality,worst,4
66,opportunity_equality,inequity,3
67,opportunity_equality,best,4
69,opportunity_equality,worst,6
70,opportunity_equality,unknown,4
71,opportunity_equality,unknown,4
72,opportunity_equality,best,5
73,opportunity_equality,worst,2
74,opportunity_equality,unknown,5
75,opportunity_equality,inequity,4
76,opportunity_equality,best,4
77,opportunity_equality,unknown,5
78,opportunity_equality,best,5
80,opportunity_equality,worst,5
81,opportunity_equality,inequity,4
82,opportunity_equality,worst,4
83,opportunity_equality,best,4
84,opportunity_equality,worst,5
85,opportunity_equality,inequity,5
86,opportunity_equality,unknown,5
87,opportunity_equality,best,4
88,opportunity_equality,inequity,3
89,opportunity_equality,worst,3
91,opportunity_equality,unknown,4
92,opportunity_equality,inequity,6
93,opportunity_equality,best,3
94,opportunity_equality,unknown,5
95,opportunity_equality,worst,6
96,opportunity_equality,worst,4
97,opportunity_equality,best,5
98,opportunity_equality,unknown,4
99,opportunity_equality,inequity,4
100,opportunity_equality,worst,4
102,opportunity_equality,unknown,4
103,opportunity_equality,best,3
104,opportunity_equality,unknown,4
105,opportunity_equality,best,6
106,opportunity_equality,inequity,4
107,opportunity_equality,inequity,4
108,opportunity_equality,unknown,3
109,opportunity_equality,worst,5
110,opportunity_equality,best,4
111,opportunity_equality,best,2
114,opportunity_equality,inequity,3
115,opportunity_equality,inequity,5
116,opportunity_equality,worst,4
117,opportunity_equality,worst,4
118,opportunity_equality,unknown,4
119,opportunity_equality,best,3
120,opportunity_equality,worst,6
121,opportunity_equality,inequity,5
122,opportunity_equality,unknown,4
123,opportunity_equality,best,4
125,opportunity_equality,inequity,5
126,opportunity_equality,unknown,3
127,opportunity_equality,worst,4
128,opportunity_equality,worst,3
129,opportunity_equality,inequity,3
130,opportunity_equality,worst,4
131,opportunity_equality,inequity,4
132,opportunity_equality,best,6
133,opportunity_equality,unknown,3
134,opportunity_equality,best,3
136,opportunity_equality,unknown,6
137,opportunity_equality,unknown,4
138,opportunity_equality,worst,4
139,opportunity_equality,worst,2
140,opportunity_equality,inequity,4
141,opportunity_equality,inequity,4
142,opportunity_equality,best,4
143,opportunity_equality,unknown,4
144,opportunity_equality,best,4
145,opportunity_equality,worst,4
147,opportunity_equality,unknown,5
148,opportunity_equality,best,5
149,opportunity_equality,worst,5
150,opportunity_equality,best,4
151,opportunity_equality,unknown,5
152,opportunity_equality,inequity,3
153,opportunity_equality,worst,4
154,opportunity_equality,unknown,5
155,opportunity_equality,inequity,4
156,opportunity_equality,best,3
158,opportunity_equality,unknown,5
159,opportunity_equality,best,5
160,opportunity_equality,inequity,1
161,opportunity_equality,worst,4
162,opportunity_equality,unknown,4
163,opportunity_equality,inequity,4
164,opportunity_equality,best,5
165,opportunity_equality,worst,3
166,opportunity_equality,unknown,4
167,opportunity_equality,best,4
169,opportunity_equality,inequity,5
170,opportunity_equality,worst,5
