number,Eval,kind_of_answer,outcome,Distribute,Distributed,Distribute_Distributed,cond,univ,type,typeMatsumoto,typeDistribute,typeDistributed,Order,typeQuatro,sex,age,ID,SVO,EC,PD,PT,FS,HL,EG
no102,4,Ega,inequity,3,3,6,7,h,33,O,O,O,Opp_Second,OO,m,20,h8440,ind,3.285714286,4.142857143,4.571428571,2.714285714,5,2
no103,3,Ega,inequity,2,3,5,7,h,23,Other,E,O,Opp_Second,EO,f,20,h8540,pro,5,4.857142857,4.142857143,3.857142857,8,2
no104,3,Ega,inequity,2,1,3,7,h,21,E,E,E,Opp_Second,EE,m,19,h9050,ind,5.142857143,4.142857143,4.571428571,4.571428571,8,3
no105,4,Ega,inequity,2,1,3,7,h,21,E,E,E,Opp_Second,EE,m,20,h8950,other,3.142857143,4.714285714,3.714285714,2.857142857,7,4
no106,4,Ega,inequity,4,4,8,7,h,44,O,O,O,Opp_Second,OO,m,20,h8750,ind,2.857142857,3.142857143,5.571428571,6,6,5
no107,3,Ega,inequity,2,4,6,7,h,24,Other,E,O,Opp_Second,EO,m,19,h9150,pro,5,3.571428571,3,5.285714286,5,6
no108,6,Ega,inequity,1,1,2,7,h,11,E,E,E,Opp_Second,EE,m,18,h8850,ind,6.285714286,5.571428571,5.428571429,4.571428571,10,1
no109,6,Ega,inequity,1,2,3,7,h,12,E,E,E,Opp_Second,EE,m,18,h9250,pro,4.714285714,3.857142857,4.428571429,5.142857143,7,2
no110,6,Ega,inequity,3,2,5,7,h,32,Other,O,E,Opp_Second,OE,f,20,h11850,ind,4.714285714,4.857142857,2.714285714,4.142857143,7,2
no111,4,Ega,inequity,1,1,2,7,h,11,E,E,E,Opp_Second,EE,f,18,h11950,ind,4.428571429,3.714285714,3.142857143,4.857142857,5,3
no112,4,Ega,inequity,1,1,2,7,h,11,E,E,E,Opp_Second,EE,m,20,h12310,ind,4.571428571,5.714285714,3.857142857,6.857142857,8,3
no113,5,Ega,inequity,3,2,5,7,h,32,Other,O,E,Opp_Second,OE,f,19,h12930,pro,5.571428571,5.142857143,5.428571429,5.714285714,,2
no114,4,Ega,inequity,3,2,5,7,h,32,Other,O,E,Opp_Second,OE,m,23,h13340,other,5.142857143,3.428571429,4.285714286,5.142857143,8,3
no115,5,Ega,unknown,3,1,4,8,h,31,Other,O,E,Opp_Second,OE,m,18,h9360,pro,5.142857143,4.714285714,5.857142857,5.428571429,9,2
no116,5,Ega,unknown,3,3,6,8,h,33,O,O,O,Opp_Second,OO,f,19,h9460,ind,4.714285714,3.857142857,4.285714286,3.571428571,3,4
no117,5,Ega,unknown,4,3,7,8,h,43,O,O,O,Opp_Second,OO,m,19,h9860,pro,4.714285714,2.285714286,4.428571429,5.428571429,5,4
no118,4,Ega,unknown,4,4,8,8,h,44,O,O,O,Opp_Second,OO,m,21,h9960,ind,4.714285714,3.142857143,4.142857143,4,1,5
no119,3,Ega,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,m,20,h9560,ind,3.714285714,4.571428571,2.571428571,3.714285714,8,3
no120,3,Ega,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,m,20,h9760,other,3.142857143,1.714285714,4.428571429,3.142857143,7,3
no121,5,Ega,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,m,20,h9660,ind,4.714285714,4,3.857142857,6.285714286,8,5
no122,5,Ega,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,m,19,h10460,pro,3.428571429,4.714285714,4.142857143,5.857142857,3,3
no123,4,Ega,unknown,3,1,4,8,h,31,Other,O,E,Opp_Second,OE,m,20,h10560,ind,5.285714286,4.285714286,5.285714286,5,5,6
no124,3,Ega,unknown,4,4,8,8,h,44,O,O,O,Opp_Second,OO,m,20,h10360,ind,5,3.428571429,4.857142857,5.571428571,5,6
no125,1,Ega,unknown,4,4,8,8,h,44,O,O,O,Opp_Second,OO,m,18,h10260,pro,4.571428571,1.714285714,3.428571429,2.714285714,5,6
no126,4,Ega,unknown,2,3,5,8,h,23,Other,E,O,Opp_Second,EO,f,20,h10660,other,3.428571429,5.714285714,4,3.428571429,7,2
no127,5,Ega,unknown,2,1,3,8,h,21,E,E,E,Opp_Second,EE,m,20,h10060,pro,4.857142857,4.714285714,4.285714286,5.714285714,7,2
no128,4,Ega,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,f,18,h10160,pro,4.714285714,4.571428571,4.285714286,4.142857143,7,2
no129,4,Ega,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,f,18,h12520,ind,4.857142857,2.571428571,2.857142857,6.285714286,6,2
no130,4,Ega,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,f,19,h13030,pro,4.857142857,5.285714286,4.571428571,3.571428571,7,4
no131,4,Ega,worst,2,3,5,6,t,23,Other,E,O,Opp_Second,EO,m,19,t1,pro,3.571429,3,3.285714,3.428571,8,3
no132,5,Ega,inequity,3,1,4,3,t,31,Other,O,E,Opp_First,OE,f,18,t4,ind,4.142857,2.857143,3.857143,3.857143,7,3
no133,5,Ega,best,2,2,4,5,t,22,E,E,E,Opp_Second,EE,m,23,t5,pro,3.285714,2.857143,3.857143,2.714286,7,3
no134,4,Ega,unknown,1,2,3,8,t,12,E,E,E,Opp_Second,EE,m,26,t6,pro,4,3.571429,3.571429,3.142857,5,3
no135,4,Ega,worst,3,3,6,2,t,33,O,O,O,Opp_First,OO,m,22,t8,pro,5,3,4.428571,3.857143,7,3
no136,5,Ega,unknown,1,2,3,4,t,12,E,E,E,Opp_First,EE,m,22,t9,pro,4.142857,3.285714,4.142857,3.857143,4,5
no137,5,Ega,best,3,3,6,5,t,33,O,O,O,Opp_Second,OO,m,22,t11,pro,4,3.428571,3.142857,3.428571,4,3
no138,5,Ega,best,3,3,6,1,t,33,O,O,O,Opp_First,OO,m,23,t12,pro,3.571429,4,3.285714,4.428571,7,3
no139,6,Ega,unknown,4,4,8,8,t,44,O,O,O,Opp_Second,OO,m,23,t13,pro,3.142857,2.571429,3.285714,3.142857,5,4
no140,6,Ega,worst,2,2,4,6,t,22,E,E,E,Opp_Second,EE,m,21,t14,pro,4.428571,2.857143,4.142857,3.571429,6,4
no141,4,Ega,inequity,3,4,7,3,t,34,O,O,O,Opp_First,OO,m,23,t15,other,3.857143,2.571429,3.428571,3.142857,4,5
